id	package	surface	capability	parent	description
pi-coding-agent-test-scenario-should-not-check-package-updates-when-offline-6b69419bcc	coding-agent	test-scenario	package-manager.test		should not check package updates when offline (packages/coding-agent/test/package-manager.test.ts:2385)
pi-coding-agent-test-scenario-should-not-compact-repeatedly-after-overflow-rec-eacc266bf1	coding-agent	test-scenario	agent-session-auto-compaction-queue.test		should not compact repeatedly after overflow recovery already attempted (packages/coding-agent/test/agent-session-auto-compaction-queue.test.ts:136)
pi-coding-agent-test-scenario-should-not-count-a-trailing-newline-as-an-extra--efebe5fbcb	coding-agent	test-scenario	tools.test		should not count a trailing newline as an extra truncated bash output line (packages/coding-agent/test/tools.test.ts:668)
pi-coding-agent-test-scenario-should-not-create-pi-folder-when-only-reading-pr-3baecf9f2d	coding-agent	test-scenario	settings-manager.test		should not create .pi folder when only reading project settings (packages/coding-agent/test/settings-manager.test.ts:291)
pi-coding-agent-test-scenario-should-not-create-summary-when-navigating-withou-3ae8707464	coding-agent	test-scenario	agent-session-tree-navigation.test		should not create summary when navigating without summarize option (packages/coding-agent/test/agent-session-tree-navigation.test.ts:214)
pi-coding-agent-test-scenario-should-not-install-locally-when-source-is-only-r-5b99f4df3d	coding-agent	test-scenario	git-update.test		should not install locally when source is only registered globally (packages/coding-agent/test/git-update.test.ts:465)
pi-coding-agent-test-scenario-should-not-move-pinned-git-sources-past-their-co-870e4bca27	coding-agent	test-scenario	git-update.test		should not move pinned git sources past their configured ref (packages/coding-agent/test/git-update.test.ts:298)
pi-coding-agent-test-scenario-should-not-partially-apply-edits-when-one-edit-f-3584feff14	coding-agent	test-scenario	tools.test		should not partially apply edits when one edit fails (packages/coding-agent/test/tools.test.ts:406)
pi-coding-agent-test-scenario-should-not-recursively-substitute-patterns-in-ar-52c7e86c4f	coding-agent	test-scenario	prompt-templates.test		should not recursively substitute patterns in arg values (packages/coding-agent/test/prompt-templates.test.ts:216)
pi-coding-agent-test-scenario-should-not-recursively-substitute-patterns-in-ar-6cdb4201b4	coding-agent	test-scenario	prompt-templates.test		should NOT recursively substitute patterns in argument values (packages/coding-agent/test/prompt-templates.test.ts:42)
pi-coding-agent-test-scenario-should-not-recursively-substitute-patterns-in-de-934cd647c7	coding-agent	test-scenario	prompt-templates.test		should not recursively substitute patterns in default values (packages/coding-agent/test/prompt-templates.test.ts:221)
pi-coding-agent-test-scenario-should-not-recursively-substitute-slice-patterns-7f2c6a759a	coding-agent	test-scenario	prompt-templates.test		should not recursively substitute slice patterns in args (packages/coding-agent/test/prompt-templates.test.ts:278)
pi-coding-agent-test-scenario-should-not-refresh-pinned-temporary-git-sources-e008f2a762	coding-agent	test-scenario	git-update.test		should not refresh pinned temporary git sources (packages/coding-agent/test/git-update.test.ts:436)
pi-coding-agent-test-scenario-should-not-reset-an-annotated-tag-checkout-that--de7f921b88	coding-agent	test-scenario	git-update.test		should not reset an annotated tag checkout that already matches the configured ref (packages/coding-agent/test/git-update.test.ts:353)
pi-coding-agent-test-scenario-should-not-run-npm-view-during-resolve-for-insta-06e73d15e0	coding-agent	test-scenario	package-manager.test		should not run npm view during resolve for installed unpinned packages (packages/coding-agent/test/package-manager.test.ts:2356)
pi-coding-agent-test-scenario-should-not-trigger-threshold-compaction-for-erro-4c31bcdb8d	coding-agent	test-scenario	agent-session-auto-compaction-queue.test		should not trigger threshold compaction for error messages when only kept pre-compaction usage exists (packages/coding-agent/test/agent-session-auto-compaction-queue.test.ts:369)
pi-coding-agent-test-scenario-should-not-trigger-threshold-compaction-for-erro-55ef4966f4	coding-agent	test-scenario	agent-session-auto-compaction-queue.test		should not trigger threshold compaction for error messages when no prior usage exists (packages/coding-agent/test/agent-session-auto-compaction-queue.test.ts:321)
pi-coding-agent-test-scenario-should-not-truncate-assistant-or-user-messages-7d5e1fc472	coding-agent	test-scenario	compaction-serialization.test		should not truncate assistant or user messages (packages/coding-agent/test/compaction-serialization.test.ts:47)
pi-coding-agent-test-scenario-should-not-truncate-messages-that-fit-3a63652b58	coding-agent	test-scenario	truncate-to-width.test		should not truncate messages that fit (packages/coding-agent/test/truncate-to-width.test.ts:45)
pi-coding-agent-test-scenario-should-not-truncate-short-tool-results-a57c6fd7e5	coding-agent	test-scenario	compaction-serialization.test		should not truncate short tool results (packages/coding-agent/test/compaction-serialization.test.ts:28)
pi-coding-agent-test-scenario-should-only-load-index-ts-from-subdirectories-no-c729491700	coding-agent	test-scenario	package-manager.test		should only load index.ts from subdirectories, not helper modules (packages/coding-agent/test/package-manager.test.ts:2003)
pi-coding-agent-test-scenario-should-parse-and-substitute-together-correctly-47b0c6ed5d	coding-agent	test-scenario	prompt-templates.test		should parse and substitute together correctly (packages/coding-agent/test/prompt-templates.test.ts:461)
pi-coding-agent-test-scenario-should-parse-bitbucket-https-urls-5570b568da	coding-agent	test-scenario	package-manager.test		should parse Bitbucket HTTPS URLs (packages/coding-agent/test/package-manager.test.ts:1336)
pi-coding-agent-test-scenario-should-parse-codeberg-https-urls-794807090d	coding-agent	test-scenario	package-manager.test		should parse Codeberg HTTPS URLs (packages/coding-agent/test/package-manager.test.ts:1343)
pi-coding-agent-test-scenario-should-parse-disable-model-invocation-frontmatte-44f57e9a6f	coding-agent	test-scenario	skills.test		should parse disable-model-invocation frontmatter field (packages/coding-agent/test/skills.test.ts:198)
pi-coding-agent-test-scenario-should-parse-git-host-path-format-55f7967b5a	coding-agent	test-scenario	package-manager-ssh.test		should parse git@host:path format (packages/coding-agent/test/package-manager-ssh.test.ts:50)
pi-coding-agent-test-scenario-should-parse-git-host-path-with-git-prefix-993ff59974	coding-agent	test-scenario	git-ssh-url.test		should parse git@host:path with git: prefix (packages/coding-agent/test/git-ssh-url.test.ts:36)
pi-coding-agent-test-scenario-should-parse-gitlab-https-urls-e7b797149b	coding-agent	test-scenario	package-manager.test		should parse GitLab HTTPS URLs (packages/coding-agent/test/package-manager.test.ts:1329)
pi-coding-agent-test-scenario-should-parse-host-path-shorthand-5277885f72	coding-agent	test-scenario	package-manager-ssh.test		should parse host/path shorthand (packages/coding-agent/test/package-manager-ssh.test.ts:59)
pi-coding-agent-test-scenario-should-parse-host-path-shorthand-only-with-git-p-73423aaa29	coding-agent	test-scenario	package-manager.test		should parse host/path shorthand only with git: prefix (packages/coding-agent/test/package-manager.test.ts:1310)
pi-coding-agent-test-scenario-should-parse-host-path-shorthand-with-git-prefix-498d633b66	coding-agent	test-scenario	git-ssh-url.test		should parse host/path shorthand with git: prefix (packages/coding-agent/test/git-ssh-url.test.ts:45)
pi-coding-agent-test-scenario-should-parse-https-github-urls-correctly-958460385a	coding-agent	test-scenario	package-manager.test		should parse HTTPS GitHub URLs correctly (packages/coding-agent/test/package-manager.test.ts:1286)
pi-coding-agent-test-scenario-should-parse-https-url-670593ec2d	coding-agent	test-scenario	package-manager-ssh.test		should parse https:// URL (packages/coding-agent/test/package-manager-ssh.test.ts:33)
pi-coding-agent-test-scenario-should-parse-https-url-ccfed021ef	coding-agent	test-scenario	git-ssh-url.test		should parse HTTPS URL (packages/coding-agent/test/git-ssh-url.test.ts:6)
pi-coding-agent-test-scenario-should-parse-https-urls-with-git-prefix-94ee7db3c0	coding-agent	test-scenario	package-manager.test		should parse HTTPS URLs with git: prefix (packages/coding-agent/test/package-manager.test.ts:1294)
pi-coding-agent-test-scenario-should-parse-https-urls-with-git-suffix-53b713298f	coding-agent	test-scenario	package-manager.test		should parse HTTPS URLs with .git suffix (packages/coding-agent/test/package-manager.test.ts:1322)
pi-coding-agent-test-scenario-should-parse-https-urls-with-ref-8ee3279db2	coding-agent	test-scenario	package-manager.test		should parse HTTPS URLs with ref (packages/coding-agent/test/package-manager.test.ts:1301)
pi-coding-agent-test-scenario-should-parse-mixed-quote-styles-ad36e12e27	coding-agent	test-scenario	prompt-templates.test		should parse mixed quote styles (packages/coding-agent/test/prompt-templates.test.ts:360)
pi-coding-agent-test-scenario-should-parse-optional-argument-hint-from-frontma-5951a821b3	coding-agent	test-scenario	prompt-templates.test		should parse optional argument-hint from frontmatter (packages/coding-agent/test/prompt-templates.test.ts:522)
pi-coding-agent-test-scenario-should-parse-package-source-types-from-docs-exam-5233e6448a	coding-agent	test-scenario	package-manager.test		should parse package source types from docs examples (packages/coding-agent/test/package-manager.test.ts:1130)
pi-coding-agent-test-scenario-should-parse-protocol-url-with-ref-b536317444	coding-agent	test-scenario	git-ssh-url.test		should parse protocol URL with ref (packages/coding-agent/test/git-ssh-url.test.ts:24)
pi-coding-agent-test-scenario-should-parse-quoted-arguments-with-spaces-8958b17156	coding-agent	test-scenario	prompt-templates.test		should parse quoted arguments with spaces (packages/coding-agent/test/prompt-templates.test.ts:352)
pi-coding-agent-test-scenario-should-parse-required-argument-hint-from-frontma-760da8e44b	coding-agent	test-scenario	prompt-templates.test		should parse required argument-hint from frontmatter (packages/coding-agent/test/prompt-templates.test.ts:499)
pi-coding-agent-test-scenario-should-parse-shorthand-with-ref-70c835cebe	coding-agent	test-scenario	package-manager-ssh.test		should parse shorthand with ref (packages/coding-agent/test/package-manager-ssh.test.ts:66)
pi-coding-agent-test-scenario-should-parse-shorthand-with-ref-and-git-prefix-3c8f8e18b2	coding-agent	test-scenario	git-ssh-url.test		should parse shorthand with ref and git: prefix (packages/coding-agent/test/git-ssh-url.test.ts:54)
pi-coding-agent-test-scenario-should-parse-simple-space-separated-arguments-5250a5ceec	coding-agent	test-scenario	prompt-templates.test		should parse simple space-separated arguments (packages/coding-agent/test/prompt-templates.test.ts:348)
pi-coding-agent-test-scenario-should-parse-single-quoted-arguments-fbad16cd70	coding-agent	test-scenario	prompt-templates.test		should parse single-quoted arguments (packages/coding-agent/test/prompt-templates.test.ts:356)
pi-coding-agent-test-scenario-should-parse-ssh-url-1f93585274	coding-agent	test-scenario	git-ssh-url.test		should parse ssh:// URL (packages/coding-agent/test/git-ssh-url.test.ts:15)
pi-coding-agent-test-scenario-should-parse-ssh-url-ee73034d75	coding-agent	test-scenario	package-manager-ssh.test		should parse ssh:// URL (packages/coding-agent/test/package-manager-ssh.test.ts:40)
pi-coding-agent-test-scenario-should-parse-the-large-session-235efa0bd7	coding-agent	test-scenario	compaction.test		should parse the large session (packages/coding-agent/test/compaction.test.ts:478)
pi-coding-agent-test-scenario-should-pass-correct-data-in-before-compact-event-f1584df076	coding-agent	test-scenario	compaction-extensions.test		should pass correct data in before_compact event (packages/coding-agent/test/compaction-extensions.test.ts:352)
pi-coding-agent-test-scenario-should-pass-shellpath-through-to-shell-resolutio-a95032fbad	coding-agent	test-scenario	tools.test		should pass shellPath through to shell resolution (packages/coding-agent/test/tools.test.ts:551)
pi-coding-agent-test-scenario-should-persist-blockimages-setting-via-setblocki-8204e4030e	coding-agent	test-scenario	block-images.test		should persist blockImages setting via setBlockImages (packages/coding-agent/test/block-images.test.ts:41)
pi-coding-agent-test-scenario-should-persist-compaction-to-session-file-a1e1ed86ba	coding-agent	test-scenario	agent-session-compaction.test		should persist compaction to session file (packages/coding-agent/test/agent-session-compaction.test.ts:134)
pi-coding-agent-test-scenario-should-persist-full-output-when-truncation-happe-bb6ec95866	coding-agent	test-scenario	tools.test		should persist full output when truncation happens by line count only (packages/coding-agent/test/tools.test.ts:730)
pi-coding-agent-test-scenario-should-persist-global-relative-local-package-pat-9f23b79f12	coding-agent	test-scenario	package-command-paths.test		should persist global relative local package paths relative to settings.json (packages/coding-agent/test/package-command-paths.test.ts:104)
pi-coding-agent-test-scenario-should-persist-message-end-events-in-order-with--80cf397976	coding-agent	test-scenario	agent-session-concurrent.test		should persist message_end events in order with slow extension handlers (packages/coding-agent/test/agent-session-concurrent.test.ts:485)
pi-coding-agent-test-scenario-should-place-temporary-npm-packages-under-the-ag-4a8cecb885	coding-agent	test-scenario	package-manager.test		should place temporary npm packages under the agent temp extension folder (packages/coding-agent/test/package-manager.test.ts:1184)
pi-coding-agent-test-scenario-should-prefer-a-directory-s-root-skill-md-over-n-6e40d5358e	coding-agent	test-scenario	skills.test		should prefer a directory's root SKILL.md over nested SKILL.md files (packages/coding-agent/test/skills.test.ts:108)
pi-coding-agent-test-scenario-should-prefer-exact-match-over-fuzzy-match-18c64173f4	coding-agent	test-scenario	tools.test		should prefer exact match over fuzzy match (packages/coding-agent/test/tools.test.ts:1014)
pi-coding-agent-test-scenario-should-prefer-explicit-cli-extensions-over-disco-b4304ba6cd	coding-agent	test-scenario	resource-loader.test		should prefer explicit CLI extensions over discovered extensions when commands and tools conflict (packages/coding-agent/test/resource-loader.test.ts:669)
pi-coding-agent-test-scenario-should-prefer-project-resources-over-user-on-nam-7277aa78fa	coding-agent	test-scenario	resource-loader.test		should prefer project resources over user on name collisions (packages/coding-agent/test/resource-loader.test.ts:100)
pi-coding-agent-test-scenario-should-prepend-command-prefix-when-configured-46793b5f27	coding-agent	test-scenario	tools.test		should prepend command prefix when configured (packages/coding-agent/test/tools.test.ts:623)
pi-coding-agent-test-scenario-should-preserve-argument-hint-with-special-chara-5a2d71edc1	coding-agent	test-scenario	prompt-templates.test		should preserve argument-hint with special characters (packages/coding-agent/test/prompt-templates.test.ts:588)
pi-coding-agent-test-scenario-should-preserve-argv-entries-containing-spaces-563d270f40	coding-agent	test-scenario	package-manager.test		should preserve argv entries containing spaces (packages/coding-agent/test/package-manager.test.ts:678)
pi-coding-agent-test-scenario-should-preserve-crlf-line-endings-after-edit-dc9a7df1cc	coding-agent	test-scenario	tools.test		should preserve CRLF line endings after edit (packages/coding-agent/test/tools.test.ts:1146)
pi-coding-agent-test-scenario-should-preserve-crlf-line-endings-and-bom-in-mul-cc4355efd0	coding-agent	test-scenario	tools.test		should preserve CRLF line endings and BOM in multi-edit mode (packages/coding-agent/test/tools.test.ts:1198)
pi-coding-agent-test-scenario-should-preserve-custom-settings-when-changing-th-b63bfcf77a	coding-agent	test-scenario	settings-manager.test		should preserve custom settings when changing theme (packages/coding-agent/test/settings-manager.test.ts:60)
pi-coding-agent-test-scenario-should-preserve-enabledmodels-when-changing-thin-8edee1602e	coding-agent	test-scenario	settings-manager.test		should preserve enabledModels when changing thinking level (packages/coding-agent/test/settings-manager.test.ts:29)
pi-coding-agent-test-scenario-should-preserve-executebash-sanitization-when-us-8e5a323219	coding-agent	test-scenario	tools.test		should preserve executeBash sanitization when using local bash operations (packages/coding-agent/test/tools.test.ts:719)
pi-coding-agent-test-scenario-should-preserve-external-project-settings-change-6e35b35f56	coding-agent	test-scenario	settings-manager-bug.test		should preserve external project settings changes when updating unrelated project field (packages/coding-agent/test/settings-manager-bug.test.ts:102)
pi-coding-agent-test-scenario-should-preserve-file-changes-to-extensions-array-a9a2e8c08a	coding-agent	test-scenario	settings-manager-bug.test		should preserve file changes to extensions array when changing unrelated setting (packages/coding-agent/test/settings-manager-bug.test.ts:74)
pi-coding-agent-test-scenario-should-preserve-file-changes-to-packages-array-w-5cec766bb4	coding-agent	test-scenario	settings-manager-bug.test		should preserve file changes to packages array when changing unrelated setting (packages/coding-agent/test/settings-manager-bug.test.ts:37)
pi-coding-agent-test-scenario-should-preserve-lf-line-endings-for-lf-files-9f7d1dabc6	coding-agent	test-scenario	tools.test		should preserve LF line endings for LF files (packages/coding-agent/test/tools.test.ts:1159)
pi-coding-agent-test-scenario-should-preserve-multiline-descriptions-from-yaml-227f4b9339	coding-agent	test-scenario	skills.test		should preserve multiline descriptions from YAML (packages/coding-agent/test/skills.test.ts:141)
pi-coding-agent-test-scenario-should-preserve-newlines-and-tabs-in-argument-va-3b1888698b	coding-agent	test-scenario	prompt-templates.test		should preserve newlines and tabs in argument values (packages/coding-agent/test/prompt-templates.test.ts:94)
pi-coding-agent-test-scenario-should-preserve-package-filters-when-replacing-a-b2afdab870	coding-agent	test-scenario	package-manager.test		should preserve package filters when replacing a package source ref (packages/coding-agent/test/package-manager.test.ts:1260)
pi-coding-agent-test-scenario-should-preserve-shellcommandprefix-when-saving-u-4eaa615ef7	coding-agent	test-scenario	settings-manager.test		should preserve shellCommandPrefix when saving unrelated settings (packages/coding-agent/test/settings-manager.test.ts:442)
pi-coding-agent-test-scenario-should-preserve-the-correct-occurrence-when-fuzz-15db532541	coding-agent	test-scenario	tools.test		should preserve the correct occurrence when fuzzy replacement equals a nearby line (packages/coding-agent/test/tools.test.ts:1069)
pi-coding-agent-test-scenario-should-preserve-untouched-lines-and-produce-an-a-0814fe3173	coding-agent	test-scenario	tools.test		should preserve untouched lines and produce an applicable patch for fuzzy multi-edits (packages/coding-agent/test/tools.test.ts:1084)
pi-coding-agent-test-scenario-should-preserve-utf-8-bom-after-edit-82bd5ae3f4	coding-agent	test-scenario	tools.test		should preserve UTF-8 BOM after edit (packages/coding-agent/test/tools.test.ts:1185)
pi-coding-agent-test-scenario-should-process-bmp-images-from-disk-as-png-attac-cb95dba358	coding-agent	test-scenario	block-images.test		should process BMP images from disk as PNG attachments (packages/coding-agent/test/block-images.test.ts:125)
pi-coding-agent-test-scenario-should-process-slice-before-simple-93d90b6f9b	coding-agent	test-scenario	prompt-templates.test		should process slice before simple $@ (packages/coding-agent/test/prompt-templates.test.ts:273)
pi-coding-agent-test-scenario-should-process-text-files-normally-c8248b684b	coding-agent	test-scenario	block-images.test		should process text files normally (packages/coding-agent/test/block-images.test.ts:137)
pi-coding-agent-test-scenario-should-produce-same-result-with-and-arguments-ea0cbcaa87	coding-agent	test-scenario	prompt-templates.test		should produce same result with $@ and $ARGUMENTS (packages/coding-agent/test/prompt-templates.test.ts:479)
pi-coding-agent-test-scenario-should-produce-valid-session-after-compaction-76258e6ff4	coding-agent	test-scenario	compaction.test		should produce valid session after compaction (packages/coding-agent/test/compaction.test.ts:530)
pi-coding-agent-test-scenario-should-queue-extension-origin-steering-messages--1789516156	coding-agent	test-scenario	agent-session-concurrent.test		should queue extension-origin steering messages while streaming (packages/coding-agent/test/agent-session-concurrent.test.ts:184)
pi-coding-agent-test-scenario-should-re-summarize-previously-kept-messages-whe-b51ed1244a	coding-agent	test-scenario	compaction.test		should re-summarize previously kept messages when the recent window moves past them (packages/coding-agent/test/compaction.test.ts:447)
pi-coding-agent-test-scenario-should-read-bmp-files-from-disk-as-png-image-att-3be495e31d	coding-agent	test-scenario	tools.test		should read BMP files from disk as PNG image attachments (packages/coding-agent/test/tools.test.ts:210)
pi-coding-agent-test-scenario-should-read-default-project-trust-from-global-se-86bab42316	coding-agent	test-scenario	settings-manager.test		should read default project trust from global settings only (packages/coding-agent/test/settings-manager.test.ts:272)
pi-coding-agent-test-scenario-should-read-file-contents-that-fit-within-limits-5a3aa66185	coding-agent	test-scenario	tools.test		should read file contents that fit within limits (packages/coding-agent/test/tools.test.ts:69)
pi-coding-agent-test-scenario-should-read-text-files-normally-e316b4f1b8	coding-agent	test-scenario	block-images.test		should read text files normally (packages/coding-agent/test/block-images.test.ts:87)
pi-coding-agent-test-scenario-should-recognize-github-urls-without-git-prefix-306dbf6304	coding-agent	test-scenario	package-manager.test		should recognize github URLs without git: prefix (packages/coding-agent/test/package-manager.test.ts:1105)
pi-coding-agent-test-scenario-should-reconcile-an-existing-git-checkout-to-a-p-569005d71a	coding-agent	test-scenario	package-manager.test		should reconcile an existing git checkout to a pinned ref during install (packages/coding-agent/test/package-manager.test.ts:764)
pi-coding-agent-test-scenario-should-reconcile-an-existing-git-checkout-to-its-c3dd2b9355	coding-agent	test-scenario	package-manager.test		should reconcile an existing git checkout to its update target when installing without a ref (packages/coding-agent/test/package-manager.test.ts:792)
pi-coding-agent-test-scenario-should-recover-when-local-commit-no-longer-exist-7134e83778	coding-agent	test-scenario	git-update.test		should recover when local commit no longer exists in remote (packages/coding-agent/test/git-update.test.ts:252)
pi-coding-agent-test-scenario-should-recover-when-remote-history-is-rewritten-fed42e1a1e	coding-agent	test-scenario	git-update.test		should recover when remote history is rewritten (packages/coding-agent/test/git-update.test.ts:230)
pi-coding-agent-test-scenario-should-refresh-cached-temporary-git-sources-when-60c5379ef3	coding-agent	test-scenario	git-update.test		should refresh cached temporary git sources when resolving (packages/coding-agent/test/git-update.test.ts:391)
pi-coding-agent-test-scenario-should-reinstall-pinned-npm-packages-when-instal-4f31c02f7d	coding-agent	test-scenario	package-manager.test		should reinstall pinned npm packages when installed version does not match (packages/coding-agent/test/package-manager.test.ts:2371)
pi-coding-agent-test-scenario-should-reject-git-host-path-without-git-prefix-785a812067	coding-agent	test-scenario	git-ssh-url.test		should reject git@host:path without git: prefix (packages/coding-agent/test/git-ssh-url.test.ts:79)
pi-coding-agent-test-scenario-should-reject-host-path-shorthand-without-git-pr-e797cef4c7	coding-agent	test-scenario	git-ssh-url.test		should reject host/path shorthand without git: prefix (packages/coding-agent/test/git-ssh-url.test.ts:83)
pi-coding-agent-test-scenario-should-reject-invalid-timeout-values-1e9b39dac5	coding-agent	test-scenario	settings-manager.test		should reject invalid timeout values (packages/coding-agent/test/settings-manager.test.ts:349)
pi-coding-agent-test-scenario-should-reject-paths-outside-git-install-roots-7af47f436d	coding-agent	test-scenario	package-manager.test		should reject paths outside git install roots (packages/coding-agent/test/package-manager.test.ts:1165)
pi-coding-agent-test-scenario-should-reject-unsafe-git-install-path-inputs-3b54f54b59	coding-agent	test-scenario	git-ssh-url.test		should reject unsafe git install path inputs (packages/coding-agent/test/git-ssh-url.test.ts:65)
pi-coding-agent-test-scenario-should-reject-user-repo-shorthand-becee1fb26	coding-agent	test-scenario	git-ssh-url.test		should reject user/repo shorthand (packages/coding-agent/test/git-ssh-url.test.ts:87)
pi-coding-agent-test-scenario-should-reload-global-settings-from-disk-0262b5f91f	coding-agent	test-scenario	settings-manager.test		should reload global settings from disk (packages/coding-agent/test/settings-manager.test.ts:160)
pi-coding-agent-test-scenario-should-reload-project-settings-after-trust-chang-1a476c27e5	coding-agent	test-scenario	settings-manager.test		should reload project settings after trust changes to true (packages/coding-agent/test/settings-manager.test.ts:247)
pi-coding-agent-test-scenario-should-remove-local-package-entries-using-equiva-d6282b0fff	coding-agent	test-scenario	package-manager.test		should remove local package entries using equivalent path forms (packages/coding-agent/test/package-manager.test.ts:1232)
pi-coding-agent-test-scenario-should-remove-local-packages-using-a-path-with-a-22b44a0f1e	coding-agent	test-scenario	package-command-paths.test		should remove local packages using a path with a trailing slash (packages/coding-agent/test/package-command-paths.test.ts:118)
pi-coding-agent-test-scenario-should-replace-and-arguments-identically-394c261e05	coding-agent	test-scenario	prompt-templates.test		should replace $@ and $ARGUMENTS identically (packages/coding-agent/test/prompt-templates.test.ts:36)
pi-coding-agent-test-scenario-should-replace-arguments-with-all-args-joined-66786fc0d7	coding-agent	test-scenario	prompt-templates.test		should replace $ARGUMENTS with all args joined (packages/coding-agent/test/prompt-templates.test.ts:28)
pi-coding-agent-test-scenario-should-replace-multiple-disjoint-regions-in-one--56306013ff	coding-agent	test-scenario	tools.test		should replace multiple disjoint regions in one call (packages/coding-agent/test/tools.test.ts:323)
pi-coding-agent-test-scenario-should-replace-text-in-file-a40bb8ce34	coding-agent	test-scenario	tools.test		should replace text in file (packages/coding-agent/test/tools.test.ts:263)
pi-coding-agent-test-scenario-should-replace-with-all-args-joined-63030a83b5	coding-agent	test-scenario	prompt-templates.test		should replace $@ with all args joined (packages/coding-agent/test/prompt-templates.test.ts:32)
pi-coding-agent-test-scenario-should-report-updates-for-installed-unpinned-npm-117ddcdaf2	coding-agent	test-scenario	package-manager.test		should report updates for installed unpinned npm packages (packages/coding-agent/test/package-manager.test.ts:2394)
pi-coding-agent-test-scenario-should-resize-image-exceeding-byte-limit-85198cc062	coding-agent	test-scenario	image-processing.test		should resize image exceeding byte limit (packages/coding-agent/test/image-processing.test.ts:100)
pi-coding-agent-test-scenario-should-resize-image-exceeding-dimension-limits-3feaa9c977	coding-agent	test-scenario	image-processing.test		should resize image exceeding dimension limits (packages/coding-agent/test/image-processing.test.ts:85)
pi-coding-agent-test-scenario-should-resolve-absolute-paths-as-is-940995fc80	coding-agent	test-scenario	path-utils.test		should resolve absolute paths as-is (packages/coding-agent/test/path-utils.test.ts:33)
pi-coding-agent-test-scenario-should-resolve-autoload-disabled-package-entries-05dcd07e0f	coding-agent	test-scenario	package-manager.test		should resolve autoload-disabled package entries as positive-only without a global package (packages/coding-agent/test/package-manager.test.ts:1704)
pi-coding-agent-test-scenario-should-resolve-autoload-disabled-project-package-052ee0a822	coding-agent	test-scenario	package-manager.test		should resolve autoload-disabled project package entries as deltas over global packages (packages/coding-agent/test/package-manager.test.ts:1678)
pi-coding-agent-test-scenario-should-resolve-directory-with-package-json-pi-ex-a48b6f1a56	coding-agent	test-scenario	package-manager.test		should resolve directory with package.json pi.extensions in extensions setting (packages/coding-agent/test/package-manager.test.ts:265)
pi-coding-agent-test-scenario-should-resolve-editor-commands-by-precedence-5e5cd69d7a	coding-agent	test-scenario	settings-manager.test		should resolve editor commands by precedence (packages/coding-agent/test/settings-manager.test.ts:376)
pi-coding-agent-test-scenario-should-resolve-existing-file-path-47cca55d83	coding-agent	test-scenario	path-utils.test		should resolve existing file path (packages/coding-agent/test/path-utils.test.ts:71)
pi-coding-agent-test-scenario-should-resolve-legacy-wsl-bash-exe-to-stdin-comm-a5871daa49	coding-agent	test-scenario	tools.test		should resolve legacy WSL bash.exe to stdin command transport (packages/coding-agent/test/tools.test.ts:597)
pi-coding-agent-test-scenario-should-resolve-local-extension-paths-from-settin-77cd3cb116	coding-agent	test-scenario	package-manager.test		should resolve local extension paths from settings (packages/coding-agent/test/package-manager.test.ts:114)
pi-coding-agent-test-scenario-should-resolve-local-paths-aaca90ef13	coding-agent	test-scenario	package-manager.test		should resolve local paths (packages/coding-agent/test/package-manager.test.ts:564)
pi-coding-agent-test-scenario-should-resolve-project-paths-relative-to-pi-17cf1e68ba	coding-agent	test-scenario	package-manager.test		should resolve project paths relative to .pi (packages/coding-agent/test/package-manager.test.ts:161)
pi-coding-agent-test-scenario-should-resolve-relative-paths-against-cwd-ffb6653b9d	coding-agent	test-scenario	path-utils.test		should resolve relative paths against cwd (packages/coding-agent/test/path-utils.test.ts:39)
pi-coding-agent-test-scenario-should-resolve-skill-paths-from-settings-8b3041eeea	coding-agent	test-scenario	package-manager.test		should resolve skill paths from settings (packages/coding-agent/test/package-manager.test.ts:125)
pi-coding-agent-test-scenario-should-resolve-symlinked-user-and-project-resour-d902fb6534	coding-agent	test-scenario	package-manager.test		should resolve symlinked user and project resources once (packages/coding-agent/test/package-manager.test.ts:185)
pi-coding-agent-test-scenario-should-resolve-tilde-prefixed-filenames-against--4ef28c0bb8	coding-agent	test-scenario	path-utils.test		should resolve tilde-prefixed filenames against cwd (packages/coding-agent/test/path-utils.test.ts:44)
pi-coding-agent-test-scenario-should-resolve-wrapped-pnpm-global-package-paths-d3143d0919	coding-agent	test-scenario	package-manager.test		should resolve wrapped pnpm global package paths from pnpm list output (packages/coding-agent/test/package-manager.test.ts:1045)
pi-coding-agent-test-scenario-should-respect-gitignore-7d492a1e07	coding-agent	test-scenario	tools.test		should respect .gitignore (packages/coding-agent/test/tools.test.ts:846)
pi-coding-agent-test-scenario-should-respect-gitignore-in-skill-directories-fb41670e40	coding-agent	test-scenario	package-manager.test		should respect .gitignore in skill directories (packages/coding-agent/test/package-manager.test.ts:530)
pi-coding-agent-test-scenario-should-respect-global-limit-and-include-context--c33faed2c7	coding-agent	test-scenario	tools.test		should respect global limit and include context lines (packages/coding-agent/test/tools.test.ts:786)
pi-coding-agent-test-scenario-should-respect-package-json-pi-extensions-manife-b55b1e15eb	coding-agent	test-scenario	package-manager.test		should respect package.json pi.extensions manifest in subdirectories (packages/coding-agent/test/package-manager.test.ts:2033)
pi-coding-agent-test-scenario-should-respect-timeout-eca578f231	coding-agent	test-scenario	tools.test		should respect timeout (packages/coding-agent/test/tools.test.ts:488)
