id	package	surface	capability	parent	description
pi-agent-documented-contract-phase-8-wrap-up-a2607e328f	agent	documented-contract	models		Documented contract: Phase 8 — wrap-up (packages/agent/docs/models.md)
pi-agent-documented-contract-phase-9-coding-agent-on-models-credentialstore-i-c1d9a75409	agent	documented-contract	models		Documented contract: Phase 9 — coding-agent on Models + CredentialStore (in scope) (packages/agent/docs/models.md)
pi-agent-documented-contract-planned-session-facade-e5f3ce1e08	agent	documented-contract	agent-harness		Documented contract: Planned session facade (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-poking-holes-7649c611c6	agent	documented-contract	hooks		Documented contract: Poking holes (packages/agent/docs/hooks.md)
pi-agent-documented-contract-prompt-event-sequence-b7e6cb5554	agent	documented-contract	README		Documented contract: prompt() Event Sequence (packages/agent/README.md)
pi-agent-documented-contract-prompting-9c601eede5	agent	documented-contract	README		Documented contract: Prompting (packages/agent/README.md)
pi-agent-documented-contract-provider-9aef1ab408	agent	documented-contract	models		Documented contract: Provider (packages/agent/docs/models.md)
pi-agent-documented-contract-provider-auth-ac5d924da4	agent	documented-contract	models		Documented contract: Provider auth (packages/agent/docs/models.md)
pi-agent-documented-contract-provider-model-listing-a3cc24fad8	agent	documented-contract	models		Documented contract: Provider model listing (packages/agent/docs/models.md)
pi-agent-documented-contract-provider-request-payload-32d501d88b	agent	documented-contract	hooks		Documented contract: Provider request / payload (packages/agent/docs/hooks.md)
pi-agent-documented-contract-provider-wrappers-and-models-json-5206ef82dc	agent	documented-contract	models		Documented contract: Provider wrappers and models.json (packages/agent/docs/models.md)
pi-agent-documented-contract-proxy-usage-f70ad61405	agent	documented-contract	README		Documented contract: Proxy Usage (packages/agent/README.md)
pi-agent-documented-contract-public-usage-7158300294	agent	documented-contract	models		Documented contract: Public usage (packages/agent/docs/models.md)
pi-agent-documented-contract-queues-0bb6a7d256	agent	documented-contract	durable-harness		Documented contract: Queues (packages/agent/docs/durable-harness.md)
pi-agent-documented-contract-quick-start-ed486a5aba	agent	documented-contract	README		Documented contract: Quick Start (packages/agent/README.md)
pi-agent-documented-contract-recovery-model-0ae7a7e8d1	agent	documented-contract	durable-harness		Documented contract: Recovery model (packages/agent/docs/durable-harness.md)
pi-agent-documented-contract-recovery-policies-172584867e	agent	documented-contract	durable-harness		Documented contract: Recovery policies (packages/agent/docs/durable-harness.md)
pi-agent-documented-contract-replacing-authstorage-3b6f240779	agent	documented-contract	models		Documented contract: Replacing AuthStorage (packages/agent/docs/models.md)
pi-agent-documented-contract-resolution-policy-fixed-95c7274ba8	agent	documented-contract	models		Documented contract: Resolution policy (fixed) (packages/agent/docs/models.md)
pi-agent-documented-contract-runtime-adapters-cce9352b59	agent	documented-contract	observability		Documented contract: Runtime adapters (packages/agent/docs/observability.md)
pi-agent-documented-contract-runtime-configuration-and-restore-12555ec666	agent	documented-contract	durable-harness		Documented contract: Runtime configuration and restore (packages/agent/docs/durable-harness.md)
pi-agent-documented-contract-safety-and-redaction-a735c0687b	agent	documented-contract	observability		Documented contract: Safety and redaction (packages/agent/docs/observability.md)
pi-agent-documented-contract-save-points-6d837563bd	agent	documented-contract	agent-harness		Documented contract: Save points (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-session-63fd73c4b5	agent	documented-contract	agent-harness		Documented contract: Session (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-session-and-thinking-budgets-6da5eba744	agent	documented-contract	README		Documented contract: Session and Thinking Budgets (packages/agent/README.md)
pi-agent-documented-contract-session-before-events-6123485ee9	agent	documented-contract	hooks		Documented contract: Session-before events (packages/agent/docs/hooks.md)
pi-agent-documented-contract-session-owns-durable-state-4ff07844df	agent	documented-contract	durable-harness		Documented contract: Session owns durable state (packages/agent/docs/durable-harness.md)
pi-agent-documented-contract-shared-api-implementations-across-concrete-provi-406a8b20a9	agent	documented-contract	models		Documented contract: Shared API implementations across concrete providers (packages/agent/docs/models.md)
pi-agent-documented-contract-state-management-9ebfd2922d	agent	documented-contract	README		Documented contract: State Management (packages/agent/README.md)
pi-agent-documented-contract-state-model-2457a83e8d	agent	documented-contract	agent-harness		Documented contract: State model (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-steering-and-follow-up-ef69c7ff2c	agent	documented-contract	README		Documented contract: Steering and Follow-up (packages/agent/README.md)
pi-agent-documented-contract-streaming-path-6ee540628a	agent	documented-contract	models		Documented contract: Streaming path (packages/agent/docs/models.md)
pi-agent-documented-contract-test-organization-52d8acb2f3	agent	documented-contract	agent-harness		Documented contract: Test organization (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-thesis-6b5b38fde1	agent	documented-contract	observability		Documented contract: Thesis (packages/agent/docs/observability.md)
pi-agent-documented-contract-tool-call-f1442e1944	agent	documented-contract	hooks		Documented contract: Tool call (packages/agent/docs/hooks.md)
pi-agent-documented-contract-tool-calls-0ca78030ae	agent	documented-contract	durable-harness		Documented contract: Tool calls (packages/agent/docs/durable-harness.md)
pi-agent-documented-contract-tool-result-a77b3a447d	agent	documented-contract	hooks		Documented contract: Tool result (packages/agent/docs/hooks.md)
pi-agent-documented-contract-tools-e4093d5278	agent	documented-contract	README		Documented contract: Tools (packages/agent/README.md)
pi-agent-documented-contract-tree-shaking-and-lazy-imports-2408780837	agent	documented-contract	models		Documented contract: Tree-shaking and lazy imports (packages/agent/docs/models.md)
pi-agent-documented-contract-turn-execution-967700ba10	agent	documented-contract	agent-harness		Documented contract: Turn execution (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-turn-snapshot-8476c86729	agent	documented-contract	agent-harness		Documented contract: Turn snapshot (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-typed-model-narrowing-a4f8c18ea5	agent	documented-contract	models		Documented contract: Typed model narrowing (packages/agent/docs/models.md)
pi-agent-documented-contract-typed-stream-options-e0e989bcd9	agent	documented-contract	models		Documented contract: Typed stream options (packages/agent/docs/models.md)
pi-agent-documented-contract-ultimate-lifecycle-goal-136395bd43	agent	documented-contract	agent-harness		Documented contract: Ultimate lifecycle goal (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-user-context-155779428f	agent	documented-contract	observability		Documented contract: User context (packages/agent/docs/observability.md)
pi-agent-documented-contract-verdict-51dc5d4f10	agent	documented-contract	hooks		Documented contract: Verdict (packages/agent/docs/hooks.md)
pi-agent-documented-contract-what-harness-should-persist-e5d9e19827	agent	documented-contract	durable-harness		Documented contract: What harness should persist (packages/agent/docs/durable-harness.md)
pi-agent-documented-contract-what-pi-emits-7571ddd3ac	agent	documented-contract	observability		Documented contract: What pi emits (packages/agent/docs/observability.md)
pi-agent-documented-contract-what-the-app-must-provide-on-resume-6cf560a7fd	agent	documented-contract	durable-harness		Documented contract: What the app must provide on resume (packages/agent/docs/durable-harness.md)
pi-agent-documented-contract-with-tool-calls-2ef57f2d81	agent	documented-contract	README		Documented contract: With Tool Calls (packages/agent/README.md)
pi-agent-package-contract-package-manifest-851f913563	agent	package-contract	package		package manifest (packages/agent/package.json)
pi-agent-package-contract-public-package-export-1be6000bae	agent	package-contract	package		public package export . (packages/agent/package.json)
pi-agent-package-contract-public-package-export-node-9b71d7f676	agent	package-contract	package		public package export ./node (packages/agent/package.json)
pi-agent-package-contract-public-package-export-package-json-914ad397b6	agent	package-contract	package		public package export ./package.json (packages/agent/package.json)
pi-agent-source-contract-agent-harness-ts-88bdf9886a	agent	source-contract	harness		Contract carried by packages/agent/src/harness/agent-harness.ts
pi-agent-source-contract-agent-loop-ts-109bbf6d27	agent	source-contract	agent-loop		Contract carried by packages/agent/src/agent-loop.ts
pi-agent-source-contract-agent-ts-4a71a38ebc	agent	source-contract	agent		Contract carried by packages/agent/src/agent.ts
pi-agent-source-contract-branch-summarization-ts-d03d4c1480	agent	source-contract	harness		Contract carried by packages/agent/src/harness/compaction/branch-summarization.ts
pi-agent-source-contract-compaction-ts-4dd4c24999	agent	source-contract	harness		Contract carried by packages/agent/src/harness/compaction/compaction.ts
pi-agent-source-contract-index-ts-44aea142ae	agent	source-contract	index		Contract carried by packages/agent/src/index.ts
pi-agent-source-contract-jsonl-repo-ts-80ee95c7eb	agent	source-contract	harness		Contract carried by packages/agent/src/harness/session/jsonl-repo.ts
pi-agent-source-contract-jsonl-storage-ts-0d35212b74	agent	source-contract	harness		Contract carried by packages/agent/src/harness/session/jsonl-storage.ts
pi-agent-source-contract-memory-repo-ts-e9d5d4cb1f	agent	source-contract	harness		Contract carried by packages/agent/src/harness/session/memory-repo.ts
pi-agent-source-contract-memory-storage-ts-f06bae54f5	agent	source-contract	harness		Contract carried by packages/agent/src/harness/session/memory-storage.ts
pi-agent-source-contract-messages-ts-e4d4a5fd98	agent	source-contract	harness		Contract carried by packages/agent/src/harness/messages.ts
pi-agent-source-contract-node-ts-f5ce232b12	agent	source-contract	node		Contract carried by packages/agent/src/node.ts
pi-agent-source-contract-nodejs-ts-24d143d2c7	agent	source-contract	harness		Contract carried by packages/agent/src/harness/env/nodejs.ts
pi-agent-source-contract-prompt-templates-ts-2dd342b0b7	agent	source-contract	harness		Contract carried by packages/agent/src/harness/prompt-templates.ts
pi-agent-source-contract-proxy-ts-d83abfcc17	agent	source-contract	proxy		Contract carried by packages/agent/src/proxy.ts
